:nemesis	:info	:start-partition	:majority
1	:invoke	:add	4
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1"}, "n2" #{"n0"}, "n1" #{"n0"}}]
2	:invoke	:add	2
1	:ok	:add	4
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	6
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	10
2	:invoke	:read	nil
2	:ok	:read	9
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	14
1	:invoke	:read	nil
1	:ok	:read	10
2	:invoke	:read	nil
2	:ok	:read	14
0	:invoke	:read	nil
0	:ok	:read	14
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	10
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	15
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	10
2	:invoke	:read	nil
2	:ok	:read	17
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	20
1	:invoke	:read	nil
1	:ok	:read	17
2	:invoke	:read	nil
2	:ok	:read	17
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	22
1	:invoke	:read	nil
1	:ok	:read	22
2	:invoke	:read	nil
2	:ok	:read	22
0	:invoke	:read	nil
0	:ok	:read	22
0	:invoke	:read	nil
0	:ok	:read	22
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
0	:invoke	:add	4
2	:ok	:read	22
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	27
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	27
0	:invoke	:read	nil
0	:ok	:read	27
0	:invoke	:read	nil
0	:ok	:read	27
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	2
1	:invoke	:add	3
0	:ok	:add	2
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	34
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	4
1	:invoke	:read	nil
1	:ok	:read	39
0	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	44
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	46
1	:invoke	:read	nil
1	:ok	:read	44
2	:invoke	:read	nil
2	:ok	:read	46
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	50
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	50
0	:invoke	:read	nil
0	:ok	:read	50
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	54
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	59
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	0
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:add	0
2	:ok	:read	65
2	:invoke	:read	nil
2	:ok	:read	65
0	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	62
1	:invoke	:add	1
0	:ok	:read	65
2	:ok	:read	65
1	:ok	:add	1
2	:invoke	:add	1
0	:invoke	:add	1
2	:ok	:add	1
0	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	66
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	68
0	:ok	:read	69
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	68
2	:invoke	:read	nil
2	:ok	:read	68
0	:invoke	:read	nil
1	:invoke	:add	3
0	:ok	:read	71
1	:ok	:add	3
1	:invoke	:add	0
2	:invoke	:read	nil
1	:ok	:add	0
2	:ok	:read	68
0	:invoke	:read	nil
0	:ok	:read	71
0	:invoke	:read	nil
0	:ok	:read	71
1	:invoke	:read	nil
1	:ok	:read	74
2	:invoke	:read	nil
2	:ok	:read	69
0	:invoke	:read	nil
0	:ok	:read	71
0	:invoke	:read	nil
0	:ok	:read	71
1	:invoke	:read	nil
1	:ok	:read	74
2	:invoke	:add	0
0	:invoke	:read	nil
2	:ok	:add	0
0	:ok	:read	74
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	74
2	:invoke	:read	nil
2	:ok	:read	75
0	:invoke	:read	nil
0	:ok	:read	75
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	79
2	:invoke	:read	nil
2	:ok	:read	79
0	:invoke	:read	nil
0	:ok	:read	79
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	81
2	:invoke	:read	nil
2	:ok	:read	81
0	:invoke	:read	nil
0	:ok	:read	81
0	:invoke	:read	nil
0	:ok	:read	81
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:read	nil
1	:ok	:read	82
2	:invoke	:read	nil
2	:ok	:read	86
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	86
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	93
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	100
2	:invoke	:add	3
0	:invoke	:add	1
0	:ok	:add	1
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	101
1	:invoke	:read	nil
1	:ok	:read	104
2	:invoke	:read	nil
2	:ok	:read	104
0	:invoke	:read	nil
0	:ok	:read	104
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	106
2	:invoke	:read	nil
0	:invoke	:add	3
2	:ok	:read	106
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	109
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	106
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	106
0	:invoke	:read	nil
0	:ok	:read	113
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	113
2	:invoke	:add	0
0	:invoke	:read	nil
2	:ok	:add	0
0	:ok	:read	117
0	:invoke	:read	nil
0	:ok	:read	117
1	:invoke	:add	2
2	:invoke	:read	nil
2	:ok	:read	117
1	:ok	:add	2
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	117
0	:invoke	:read	nil
0	:ok	:read	123
0	:invoke	:read	nil
0	:ok	:read	123
1	:invoke	:read	nil
1	:ok	:read	123
2	:invoke	:read	nil
0	:invoke	:add	3
2	:ok	:read	117
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	126
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	123
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	127
1	:invoke	:read	nil
1	:ok	:read	127
2	:invoke	:read	nil
2	:ok	:read	123
0	:invoke	:read	nil
0	:ok	:read	127
0	:invoke	:add	2
1	:invoke	:add	0
0	:ok	:add	2
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	126
0	:invoke	:read	nil
0	:ok	:read	129
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	127
0	:invoke	:read	nil
0	:ok	:read	130
0	:invoke	:add	2
